Bytes Userspace     Socket
8B    1.12706e+07   2.16166e+06
16B   1.08791e+07   2.71444e+06
32B   1.07048e+07   2.74703e+06
64B   9.98828e+06   2.69032e+06
128B  9.54986e+06   2.30319e+06
256B  8.03518e+06   2.22830e+06
512B  6.18156e+06   1.52825e+06
1K    3.45761e+06   1.42301e+06
2K    2.20263e+06   1.19698e+06
