Bytes Userspace     Socket
1B    3.01473e+06   772594
4B    2.96517e+06   754025
8B    3.04818e+06   756743
16B   2.64518e+06   721477
32B   2.36598e+06   707223
64B   2.40156e+06   680065
128B  1.9584e+06    648259
256B  1.58494e+06   587517
512B  878320        473410
1K    615763        379934
2K    380776        263872
