Bytes Userspace     Socket
8B    7.21318e+08   1.38346e+08
16B   1.39253e+09   3.47448e+08
32B   2.74044e+09   7.03240e+08
64B   5.11400e+09   1.37745e+09
128B  9.77905e+09   2.35847e+09
256B  1.64561e+10   4.56357e+09
512B  2.53197e+10   6.25970e+09
1K    2.83248e+10   1.16573e+10
2K    3.60879e+10   1.96114e+10
